sleep_hours,screen_time,physical_activity,work_hours,social_interaction,caffeine_intake,mood
6.2472407130841745,6.136253169234302,29,8.061746344508801,6,4,Stressed
9.704285838459498,1.6731197199603907,16,4.286428055034627,1,5,Neutral
8.39196365086843,2.29302971275691,61,8.717006844058567,7,4,Happy
7.59195090518222,8.188433508216633,83,8.181282404578958,1,5,Happy
4.936111842654619,5.8514324772767194,88,5.581627180328405,9,1,Happy
4.935967122017216,1.0735764129330372,85,3.13557592199629,1,1,Happy
4.3485016730091965,1.8117723429282568,12,8.715731955927996,1,0,Sad
9.197056874649611,6.3080141528644464,58,7.2030770090379335,7,4,Happy
7.606690070459253,1.0404926707697495,18,9.723183917356394,2,2,Stressed
8.248435466776273,2.2864644113399892,48,7.201635011119934,5,4,Happy
4.123506965774815,5.389870314932689,11,10.5218150031854,8,2,Sad
9.819459112971966,6.535161581541546,60,7.519068387744856,8,3,Happy
8.99465584480253,6.215690076020804,18,7.609379715353863,3,4,Stressed
5.2740346640696565,2.7941544756844783,75,10.76653602658345,7,3,Happy
5.090949803242603,6.697433770780287,8,6.034828662123971,3,1,Sad
5.100427059120603,2.8979926999744006,70,3.3401522845064076,6,1,Happy
5.825453457757226,3.603197585274142,27,2.2878267631333897,6,0,Neutral
7.148538589793427,6.971931240944193,77,9.55137255673619,3,4,Happy
6.591670111852695,6.197063192377717,51,8.203095513534647,7,3,Neutral
5.747374841188251,7.7937872839534235,82,9.040797680992235,3,2,Neutral
7.671117368334277,6.260903138402747,15,4.129641615089107,8,1,Neutral
4.836963163912251,5.546468826683773,68,3.3637147558676976,10,1,Happy
5.752867891211309,1.7493981426247398,11,2.1454466566788195,4,2,Neutral
6.19817105976215,3.941726424475468,24,5.50587558806597,1,3,Stressed
6.736419905302215,3.1216189414538036,51,7.899176868546331,4,3,Neutral
8.711055768358081,2.9519171470326686,84,5.922440450997323,7,4,Happy
5.198042692950159,8.784084438019566,52,6.374749220237291,4,4,Neutral
7.085406630481669,4.144781797334083,22,11.041586944937483,6,5,Stressed
7.554487413172255,8.136372441416906,15,5.482554670233004,9,5,Neutral
4.278702476319986,6.049109007978103,56,7.139894891598108,1,0,Stressed
7.645269111408631,7.358490428333187,38,9.83653012741143,5,1,Neutral
5.023144742123749,5.021096744841537,52,5.965427823212702,7,4,Neutral
4.390309557911677,5.615231077010873,41,8.220867002278734,1,3,Stressed
9.69331322352,4.940141550550911,57,10.623637087467452,4,2,Happy
9.793792198447356,2.561943902384356,38,11.495206236576422,6,3,Neutral
8.850384088698767,6.779616922092043,13,3.4707348092903794,2,1,Neutral
5.827682615040224,3.2461788995268464,4,11.265876251614944,10,5,Stressed
4.586032684038303,1.1945277314516307,34,6.921162930795382,5,3,Neutral
8.10539815907294,6.1637783672573425,86,4.582443882989583,10,0,Happy
6.640914962437607,2.4168854352563915,74,6.591357562382613,1,1,Happy
4.7322294090686725,8.523668674823314,17,11.800325752854771,6,5,Sad
6.971061460667621,8.631428616020699,75,6.926180939928696,6,2,Happy
4.20633112669131,8.318915121763588,8,5.287516102875082,4,5,Sad
9.455922412472692,3.961269602043555,73,8.334008543167258,8,0,Happy
5.5526798896001015,1.1236529322309394,57,4.401456187781931,4,1,Happy
7.975133706123891,8.426548500701802,16,2.758633281086639,8,2,Neutral
5.8702664565364655,4.425473186538515,6,3.2887972191064923,8,0,Neutral
7.120408127066865,8.733238552349356,45,3.280458389577724,5,5,Happy
7.280261676059678,8.708959816714023,12,3.5190269351229437,4,0,Stressed
5.109126733153162,7.8240756437388805,39,3.3882717264941014,2,1,Stressed
